Episode,Revenue,Reward,Bookings,Inventory_Left
381,100500,982.5,26,74
382,117000,1165.0,29,71
383,108500,1062.5,27,73
384,117000,1165.0,29,71
385,95000,925.0,25,75
386,91500,907.5,25,75
387,108500,1052.5,27,73
388,117000,1165.0,29,71
389,105000,1015.0,26,74
390,117000,1165.0,29,71
391,112500,1112.5,28,72
392,109000,1065.0,27,73
393,97000,915.0,24,76
394,93500,897.5,24,76
395,112500,1112.5,28,72
396,86500,862.5,24,76
397,104500,1012.5,26,74
398,105000,1015.0,26,74
399,112500,1112.5,28,72
400,117000,1165.0,29,71
401,95500,907.5,24,76
402,112500,1112.5,28,72
403,109000,1065.0,27,73
404,104500,1012.5,26,74
405,109000,1065.0,27,73
406,113000,1115.0,28,72
407,108500,1062.5,27,73
408,121000,1215.0,30,70
409,101000,1055.0,28,72
410,105000,1005.0,26,74
411,113000,1115.0,28,72
412,113000,1145.0,29,71
413,113000,1115.0,28,72
414,105000,1015.0,26,74
415,117000,1165.0,29,71
416,117000,1165.0,29,71
417,108500,1062.5,27,73
418,108500,1052.5,27,73
419,117000,1165.0,29,71
420,117000,1165.0,29,71
421,109500,1097.5,28,72
422,105000,1015.0,26,74
423,104500,1012.5,26,74
424,109000,1065.0,27,73
425,113000,1115.0,28,72
426,100500,962.5,25,75
427,111000,1105.0,28,72
428,102000,1050.0,28,72
429,107500,1057.5,27,73
430,112500,1112.5,28,72
431,106000,1110.0,29,71
432,117000,1165.0,29,71
433,113000,1105.0,28,72
434,98500,1012.5,27,73
435,113000,1115.0,28,72
436,112500,1112.5,28,72
437,104500,1012.5,26,74
438,109000,1065.0,27,73
439,109000,1055.0,27,73
440,109000,1065.0,27,73
441,100500,962.5,25,75
442,104500,1012.5,26,74
443,121000,1215.0,30,70
444,113000,1105.0,28,72
445,98500,1012.5,27,73
446,117000,1165.0,29,71
447,109000,1055.0,27,73
448,103500,1037.5,27,73
449,106000,1110.0,29,71
450,109000,1095.0,28,72
451,112500,1102.5,28,72
452,112500,1112.5,28,72
453,106000,1080.0,28,72
454,117000,1165.0,29,71
455,102500,1062.5,28,72
456,113000,1115.0,28,72
457,117000,1165.0,29,71
458,112500,1112.5,28,72
459,104500,1012.5,26,74
460,100500,962.5,25,75
461,112500,1112.5,28,72
462,105500,1107.5,29,71
463,112500,1112.5,28,72
464,109000,1155.0,30,70
465,113000,1115.0,28,72
466,113000,1115.0,28,72
467,91500,857.5,23,77
468,92000,920.0,25,75
469,109000,1065.0,27,73
470,109500,1157.5,30,70
471,109000,1065.0,27,73
472,95000,965.0,26,74
473,104000,1070.0,28,72
474,103000,1035.0,27,73
475,112500,1112.5,28,72
476,104500,1012.5,26,74
477,96500,932.5,25,75
478,109000,1065.0,27,73
479,104500,1012.5,26,74
480,117000,1155.0,29,71
481,113000,1115.0,28,72
482,121000,1215.0,30,70
483,96500,942.5,25,75
484,116000,1190.0,30,70
485,105500,1107.5,29,71
486,117000,1165.0,29,71
487,117000,1165.0,29,71
488,108500,1062.5,27,73
489,100500,962.5,25,75
490,108500,1062.5,27,73
491,121000,1215.0,30,70
492,109000,1065.0,27,73
493,106000,1110.0,29,71
494,108500,1052.5,27,73
495,117000,1165.0,29,71
496,97500,1007.5,27,73
497,108500,1062.5,27,73
498,108500,1062.5,27,73
499,109000,1055.0,27,73
500,109000,1065.0,27,73
501,117000,1165.0,29,71
502,121000,1215.0,30,70
503,103500,1007.5,26,74
504,106000,1110.0,29,71
505,97000,995.0,27,73
506,112500,1112.5,28,72
507,110000,1100.0,28,72
508,113000,1105.0,28,72
509,112000,1110.0,28,72
510,108500,1052.5,27,73
511,100500,962.5,25,75
512,96500,912.5,24,76
513,104500,1012.5,26,74
514,108000,1050.0,27,73
515,113000,1115.0,28,72
516,117000,1165.0,29,71
517,117000,1165.0,29,71
518,109000,1065.0,27,73
519,117000,1165.0,29,71
520,112500,1112.5,28,72
521,96500,912.5,24,76
522,117000,1165.0,29,71
523,109000,1065.0,27,73
524,113000,1115.0,28,72
525,117000,1165.0,29,71
526,113000,1115.0,28,72
527,101000,955.0,25,75
528,94000,900.0,24,76
529,105000,1015.0,26,74
530,117000,1165.0,29,71
531,104500,1002.5,26,74
532,94000,960.0,26,74
533,105000,1015.0,26,74
534,117000,1165.0,29,71
535,105500,1047.5,27,73
536,105000,1015.0,26,74
537,86500,832.5,23,77
538,91000,915.0,25,75
539,108500,1062.5,27,73
540,113000,1115.0,28,72
541,113000,1115.0,28,72
542,109000,1065.0,27,73
543,100500,962.5,25,75
544,112500,1112.5,28,72
545,91500,857.5,23,77
546,117000,1165.0,29,71
547,98000,1010.0,27,73
548,117000,1165.0,29,71
549,109000,1065.0,27,73
550,94500,962.5,26,74
551,113000,1115.0,28,72
552,112000,1100.0,28,72
553,109000,1065.0,27,73
554,109000,1065.0,27,73
555,102000,1060.0,28,72
556,100500,1052.5,28,72
557,108500,1062.5,27,73
558,104500,1012.5,26,74
559,105000,1015.0,26,74
560,100500,962.5,25,75
561,104500,1012.5,26,74
562,121000,1215.0,30,70
563,102500,1032.5,27,73
564,97000,915.0,24,76
565,109000,1065.0,27,73
566,113000,1115.0,28,72
567,117000,1165.0,29,71
568,102000,1030.0,27,73
569,106500,1052.5,27,73
570,92500,892.5,24,76
571,97500,997.5,27,73
572,98000,1010.0,27,73
573,116500,1162.5,29,71
574,109000,1065.0,27,73
575,108500,1062.5,27,73
576,116500,1162.5,29,71
577,102000,1060.0,28,72
578,100500,962.5,25,75
579,112500,1112.5,28,72
580,113000,1115.0,28,72
581,109000,1065.0,27,73
582,108500,1062.5,27,73
583,113000,1115.0,28,72
584,117000,1165.0,29,71
585,107000,1085.0,28,72
586,116500,1162.5,29,71
587,100500,952.5,25,75
588,104500,1012.5,26,74
589,121000,1215.0,30,70
590,95000,965.0,26,74
591,112500,1112.5,28,72
592,104500,1002.5,26,74
593,104500,1012.5,26,74
594,109000,1065.0,27,73
595,100500,962.5,25,75
596,113000,1115.0,28,72
597,101000,965.0,25,75
598,108500,1062.5,27,73
599,98500,1012.5,27,73
600,113000,1115.0,28,72
601,99000,1005.0,27,73
602,113000,1115.0,28,72
603,105000,1015.0,26,74
604,113000,1105.0,28,72
605,116500,1162.5,29,71
606,95000,885.0,24,76
607,105000,1015.0,26,74
608,113000,1115.0,28,72
609,104500,1012.5,26,74
610,91000,915.0,25,75
611,121000,1215.0,30,70
612,109000,1065.0,27,73
613,117000,1165.0,29,71
614,101000,965.0,25,75
615,117000,1165.0,29,71
616,121000,1215.0,30,70
617,113000,1115.0,28,72
618,96500,912.5,24,76
619,103000,1055.0,28,72
620,121000,1215.0,30,70
621,117000,1165.0,29,71
622,116500,1152.5,29,71
623,105000,1015.0,26,74
624,108500,1052.5,27,73
625,113000,1115.0,28,72
626,108500,1062.5,27,73
627,92500,952.5,26,74
628,109000,1065.0,27,73
629,113000,1115.0,28,72
630,104000,1010.0,26,74
631,113000,1115.0,28,72
632,113000,1115.0,28,72
633,113000,1115.0,28,72
634,100500,962.5,25,75
635,117000,1165.0,29,71
636,112500,1112.5,28,72
637,117000,1165.0,29,71
638,109000,1065.0,27,73
639,117000,1165.0,29,71
640,113000,1115.0,28,72
641,92000,920.0,25,75
642,116500,1162.5,29,71
643,116500,1162.5,29,71
644,108500,1062.5,27,73
645,105000,1015.0,26,74
646,117000,1165.0,29,71
647,108500,1062.5,27,73
648,107500,1057.5,27,73
649,121000,1215.0,30,70
650,121000,1215.0,30,70
651,113000,1115.0,28,72
652,113000,1115.0,28,72
653,105000,1015.0,26,74
654,112500,1112.5,28,72
655,105000,1015.0,26,74
656,101500,1057.5,28,72
657,104500,1012.5,26,74
658,109000,1055.0,27,73
659,117000,1165.0,29,71
660,112500,1112.5,28,72
661,117000,1165.0,29,71
662,116500,1162.5,29,71
663,109000,1065.0,27,73
664,113000,1115.0,28,72
665,94500,902.5,24,76
